month,posts,likes,comments,shares
"2014,8",17,8624,493,2401
"2014,9",19,20210,4039,1803
"2014,10",21,21800,10031,6269
"2014,11",27,19078,2480,1257
"2014,12",30,27718,3462,2692
"2015,1",15,6945,254,356
"2015,2",10,14271,617,754
"2015,3",23,36495,1627,1880
"2015,4",14,14867,2348,898
"2015,5",23,38245,2762,4537
"2015,6",27,31020,1416,1524
"2015,7",41,43704,2612,2115
"2015,8",27,20262,1335,716
"2015,9",36,33296,2593,2352
"2015,10",23,29707,16816,10717
"2015,11",38,49126,13972,11598
"2015,12",37,48210,4879,3826
"2016,1",36,37261,2364,3189
"2016,2",31,31025,1802,1772
"2016,3",50,71766,6721,4467
"2016,4",20,40352,2148,1642
"2016,5",33,57726,3015,2471
"2016,6",37,73380,12953,3969
"2016,7",31,67780,4100,2006
"2016,8",42,76901,3171,2196
"2016,9",40,67189,11197,5382
"2016,10",57,48520,5746,2067
"2016,11",32,58618,20309,3197
"2016,12",35,56476,29738,4411
"2017,1",27,32721,10733,1887
"2017,2",22,53986,16070,3003
"2017,3",29,61377,3926,1865
"2017,4",38,37215,2414,1501
"2017,5",19,34899,2880,1335
"2017,6",24,44307,4204,977
"2017,7",33,35928,20768,5438
"2017,8",23,45832,10685,5557
"2017,9",37,51388,11870,6417
"2017,10",37,70362,10328,2297
"2017,11",22,48607,12925,4862
"2017,12",40,53683,13361,1979
"2018,1",28,27841,5926,1533
"2018,2",15,19305,2938,1005
"2018,3",32,55412,7379,4257
"2018,4",11,11492,946,536
"2018,5",21,28522,2805,1141
"2018,6",17,10158,1600,547
"2018,7",26,25259,4177,3741
"2018,8",31,17474,4625,803
"2018,9",41,60570,5784,2021
"2018,10",16,13986,742,471
"2018,11",32,33746,16092,2747
"2018,12",41,72651,78367,2335
"2019,1",33,23537,4309,1648
